date,year,tourney_name,surface,indoor,commitment,draw_size,url
19760309,1976,Memphis WCT,Carpet,Indoor,"$60,000",16,https://www.atptour.com/en/scores/archive/memphis/402/1976/results
19760309,1976,Mexico City WCT,Carpet,Indoor,"$60,000",16,https://www.atptour.com/en/scores/archive/mexico-city/295/1976/results
19760310,1976,Hampton,Carpet,Indoor,"$50,000",16,https://www.atptour.com/en/scores/archive/hampton/657/1976/results
19760315,1976,Washington WCT,Carpet,Indoor,"$60,000",16,https://www.atptour.com/en/scores/archive/washington/710/1976/results
19760316,1976,La Costa,Hard,Outdoor,"$100,000",16,https://www.atptour.com/en/scores/archive/la-costa/813/1976/results
19760317,1976,Jackson WCT,Carpet,Indoor,"$60,000",16,https://www.atptour.com/en/scores/archive/jackson/656/1976/results
19760322,1976,Palm Springs,Hard,Outdoor,"$200,000",64,https://www.atptour.com/en/scores/archive/palm-springs/404/1976/results
19760322,1976,Valencia,Clay,Outdoor,"$30,000",64,https://www.atptour.com/en/scores/archive/valencia/659/1976/results
19760329,1976,Barcelona,Clay,Outdoor,"$30,000",64,https://www.atptour.com/en/scores/archive/barcelona/278/1976/results
19760330,1976,Caracas WCT,Hard,Outdoor,"$60,000",16,https://www.atptour.com/en/scores/archive/caracas/344/1976/results
19760330,1976,Sao Paulo WCT,Carpet,Indoor,"$60,000",16,https://www.atptour.com/en/scores/archive/sao-paulo/237/1976/results
19760405,1976,Nice,Clay,Outdoor,"$30,000",64,https://www.atptour.com/en/scores/archive/nice/6120/1976/results
19760406,1976,Houston WCT,Clay,Outdoor,"$60,000",16,https://www.atptour.com/en/scores/archive/houston/820/1976/results
19760406,1976,Johannesburg WCT,Hard,Outdoor,"$60,000",16,https://www.atptour.com/en/scores/archive/johannesburg/254/1976/results
19760412,1976,Palma,Clay,Outdoor,"$30,000",64,https://www.atptour.com/en/scores/archive/mallorca/655/1976/results
19760413,1976,Charlotte WCT,Clay,Outdoor,"$60,000",16,https://www.atptour.com/en/scores/archive/charlotte/436/1976/results
19760413,1976,Monte Carlo WCT,Clay,Outdoor,"$60,000",16,https://www.atptour.com/en/scores/archive/monte-carlo/410/1976/results
19760419,1976,Madrid,Clay,Outdoor,"$30,000",64,https://www.atptour.com/en/scores/archive/madrid/309/1976/results
19760420,1976,Denver WCT,Carpet,Indoor,"$60,000",16,https://www.atptour.com/en/scores/archive/denver/389/1976/results
19760420,1976,Stockholm - WCT,Carpet,Indoor,"$60,000",16,https://www.atptour.com/en/scores/archive/stockholm/666/1976/results
19760422,1976,Sacramento,Carpet,Indoor,"$25,000",16,https://www.atptour.com/en/scores/archive/sacramento/654/1976/results
19760428,1976,World Doubles WCT,Carpet,Indoor,"$100,000",0,https://www.atptour.com/en/scores/archive/kansas-city/601/1976/results
19760503,1976,Florence,Clay,Outdoor,"$30,000",32,https://www.atptour.com/en/scores/archive/florence/310/1976/results
19760504,1976,Dallas WCT,Carpet,Indoor,"$100,000",8,https://www.atptour.com/en/scores/archive/dallas/610/1976/results
19760504,1976,Munich,Clay,Outdoor,"$50,000",32,https://www.atptour.com/en/scores/archive/munich/308/1976/results
19760510,1976,Las Vegas,Hard,Outdoor,"$150,000",32,https://www.atptour.com/en/scores/archive/las-vegas/413/1976/results
19760510,1976,Bournemouth,Clay,Outdoor,"$75,000",64,https://www.atptour.com/en/scores/archive/bournemouth/347/1976/results
19760517,1976,Hamburg,Clay,Outdoor,"$100,000",64,https://www.atptour.com/en/scores/archive/hamburg/414/1976/results
19760523,1976,WCT Challenge Cup,Hard,Outdoor,"$320,000",8,https://www.atptour.com/en/scores/archive/honolulu/3935/1976/results
19760524,1976,Rome,Clay,Outdoor,"$150,000",64,https://www.atptour.com/en/scores/archive/rome/416/1976/results
19760524,1976,Dusseldorf,Clay,Outdoor,"$50,000",64,https://www.atptour.com/en/scores/archive/dusseldorf/661/1976/results
19760531,1976,Roland Garros,Clay,Outdoor,"$204,000",128,https://www.atptour.com/en/scores/archive/roland-garros/520/1976/results
19760615,1976,Nottingham,Grass,Outdoor,"$100,000",64,https://www.atptour.com/en/scores/archive/nottingham/350/1976/results
19760615,1976,Berlin,Clay,Outdoor,"$50,000",32,https://www.atptour.com/en/scores/archive/berlin/277/1976/results
19760621,1976,Wimbledon,Grass,Outdoor,"$160,000",128,https://www.atptour.com/en/scores/archive/wimbledon/540/1976/results
19760705,1976,Bastad,Clay,Outdoor,"$100,000",64,https://www.atptour.com/en/scores/archive/bastad/316/1976/results
19760705,1976,Gstaad,Clay,Outdoor,"$75,000",48,https://www.atptour.com/en/scores/archive/gstaad/314/1976/results
19760710,1976,Pepsi Grand Slam,Clay,Outdoor,"$150,000",4,https://www.atptour.com/en/scores/archive/myrtle-beach/1725/1976/results
19760712,1976,Cincinnati,Clay,Outdoor,"$100,000",64,https://www.atptour.com/en/scores/archive/cincinnati/422/1976/results
