date,year,tourney_name,tourney_id,surface,indoor,commitment,draw_size,url
19981012,1998,Singapore,1998_326,Hard,Indoor,$700000,32,https://www.atptour.com/en/scores/archive/singapore/326/1998/results
19981019,1998,Ostrava,1998_348,Carpet,Indoor,$1000000,32,https://www.atptour.com/en/scores/archive/ostrava/348/1998/results
19981019,1998,Lyon,1998_7309,Carpet,Indoor,$750000,32,https://www.atptour.com/en/scores/archive/lyon/7309/1998/results
19981026,1998,ATP Masters 1000 Stuttgart,1998_357,Hard,Indoor,$2450000,48,https://www.atptour.com/en/scores/archive/stuttgart/357/1998/results
19981026,1998,Mexico City,1998_807,Clay,Outdoor,$340000,32,https://www.atptour.com/en/scores/archive/mexico-city/807/1998/results
19981102,1998,ATP Masters 1000 Paris,1998_352,Carpet,Indoor,$2550000,48,https://www.atptour.com/en/scores/archive/paris/352/1998/results
19981102,1998,Bogota,1998_359,Clay,Outdoor,$340000,32,https://www.atptour.com/en/scores/archive/bogota/359/1998/results
19981109,1998,Moscow,1998_438,Carpet,Indoor,$1150000,32,https://www.atptour.com/en/scores/archive/moscow/438/1998/results
19981109,1998,Stockholm,1998_429,Hard,Indoor,$825000,32,https://www.atptour.com/en/scores/archive/stockholm/429/1998/results
19981109,1998,Santiago,1998_505,Clay,Outdoor,$340000,32,https://www.atptour.com/en/scores/archive/santiago/505/1998/results
19981116,1998,ATP Tour World Doubles Championship,1998_602,Carpet,Indoor,$500000,64,https://www.atptour.com/en/scores/archive/atp-tour-world-doubles-championship/602/1998/results
19981123,1998,ATP Tour World Championship,1998_605,Hard,Indoor,$3300000,64,https://www.atptour.com/en/scores/archive/atp-tour-world-championship/605/1998/results
19990104,1999,Doha,1999_451,Hard,Outdoor,$1000000,32,https://www.atptour.com/en/scores/archive/doha/451/1999/results
19990104,1999,Adelaide,1999_7308,Hard,Outdoor,$350000,32,https://www.atptour.com/en/scores/archive/adelaide/7308/1999/results
19990111,1999,Auckland,1999_301,Hard,Outdoor,$350000,32,https://www.atptour.com/en/scores/archive/auckland/301/1999/results
19990111,1999,Sydney,1999_338,Hard,Outdoor,$350000,32,https://www.atptour.com/en/scores/archive/sydney/338/1999/results
19990118,1999,Australian Open,1999_580,Hard,Outdoor,$3539387,128,https://www.atptour.com/en/scores/archive/australian-open/580/1999/results
19990201,1999,Marseille,1999_496,Hard,Indoor,$539250,32,https://www.atptour.com/en/scores/archive/marseille/496/1999/results
19990208,1999,Dubai,1999_495,Hard,Outdoor,$1039250,32,https://www.atptour.com/en/scores/archive/dubai/495/1999/results
19990208,1999,San Jose,1999_424,Hard,Indoor,$350000,32,https://www.atptour.com/en/scores/archive/san-jose/424/1999/results
19990208,1999,St. Petersburg,1999_568,Carpet,Indoor,$350000,32,https://www.atptour.com/en/scores/archive/st-petersburg/568/1999/results
19990215,1999,Rotterdam,1999_407,Carpet,Indoor,$850000,32,https://www.atptour.com/en/scores/archive/rotterdam/407/1999/results
19990215,1999,Memphis,1999_402,Hard,Indoor,$825000,48,https://www.atptour.com/en/scores/archive/memphis/402/1999/results
19990222,1999,London,1999_408,Carpet,Indoor,$814250,32,https://www.atptour.com/en/scores/archive/london/408/1999/results
19990301,1999,Scottsdale,1999_433,Hard,Outdoor,$350000,32,https://www.atptour.com/en/scores/archive/scottsdale/433/1999/results
19990301,1999,Copenhagen,1999_481,Carpet,Indoor,$240000,32,https://www.atptour.com/en/scores/archive/copenhagen/481/1999/results
19990308,1999,ATP Masters 1000 Indian Wells,1999_404,Hard,Outdoor,$2450000,56,https://www.atptour.com/en/scores/archive/indian-wells/404/1999/results
19990315,1999,ATP Masters 1000 Miami,1999_403,Hard,Outdoor,$2700000,96,https://www.atptour.com/en/scores/archive/miami/403/1999/results
19990322,1999,Casablanca,1999_360,Clay,Outdoor,$240000,32,https://www.atptour.com/en/scores/archive/casablanca/360/1999/results
19990405,1999,Estoril,1999_468,Clay,Outdoor,$625000,32,https://www.atptour.com/en/scores/archive/estoril/468/1999/results
19990405,1999,Chennai,1999_891,Hard,Outdoor,$430000,32,https://www.atptour.com/en/scores/archive/chennai/891/1999/results
19990405,1999,Hong Kong,1999_336,Hard,Outdoor,$350000,32,https://www.atptour.com/en/scores/archive/hong-kong/336/1999/results
19990412,1999,Barcelona,1999_425,Clay,Outdoor,$950000,56,https://www.atptour.com/en/scores/archive/barcelona/425/1999/results
19990412,1999,Tokyo,1999_329,Hard,Outdoor,$725000,56,https://www.atptour.com/en/scores/archive/tokyo/329/1999/results
19990419,1999,ATP Masters 1000 Monte Carlo,1999_410,Clay,Outdoor,$2450000,56,https://www.atptour.com/en/scores/archive/monte-carlo/410/1999/results
19990419,1999,Orlando,1999_717,Clay,Outdoor,$289250,32,https://www.atptour.com/en/scores/archive/orlando/717/1999/results
19990426,1999,Munich,1999_308,Clay,Outdoor,$525000,32,https://www.atptour.com/en/scores/archive/munich/308/1999/results
19990426,1999,Prague,1999_379,Clay,Outdoor,$500000,32,https://www.atptour.com/en/scores/archive/prague/379/1999/results
19990426,1999,Atlanta,1999_409,Clay,Outdoor,$350000,32,https://www.atptour.com/en/scores/archive/atlanta/409/1999/results
19990503,1999,ATP Masters 1000 Hamburg,1999_414,Clay,Outdoor,$2450000,56,https://www.atptour.com/en/scores/archive/hamburg/414/1999/results
19990503,1999,Delray Beach,1999_499,Clay,Outdoor,$270000,32,https://www.atptour.com/en/scores/archive/delray-beach/499/1999/results
